iso3,year,tb_inc
GNB,2016,203.0
COM,2023,26.0
NER,2000,83.0
ETH,2020,156.0
TZA,2007,492.0
EGY,2017,12.0
STP,2016,175.0
AGO,2002,390.0
COD,2019,417.0
GHA,2015,160.0
GNB,2011,253.0
LBR,2010,331.0
NER,2014,104.0
LBY,2003,64.0
DZA,2020,52.0
GHA,2002,212.0
CAF,2016,493.0
AGO,2000,270.0
SDN,2016,82.0
CIV,2005,213.0
MUS,2022,15.0
NAM,2016,604.0
TGO,2009,90.0
COG,2015,348.0
SEN,2003,182.0
GAB,2019,427.0
BEN,2002,78.0
COM,2024,22.0
SLE,2007,525.0
COM,2006,43.0
BEN,2013,69.0
NAM,2011,815.0
SDN,2019,67.0
GMB,2020,153.0
SWZ,2002,1110.0
GMB,2024,138.0
GNQ,2011,259.0
BWA,2022,208.0
GNB,2003,261.0
KEN,2016,348.0
BDI,2007,175.0
BDI,2002,205.0
COD,2018,426.0
RWA,2005,138.0
CPV,2022,39.0
MOZ,2009,354.0
SDN,2015,88.0
CMR,2024,132.0
SWZ,2004,1320.0
MLI,2008,76.0
MOZ,2003,339.0
SDN,2006,146.0
GNB,2007,286.0
STP,2001,241.0
MDG,2018,214.0
COD,2007,531.0
UGA,2023,198.0
SEN,2007,185.0
MRT,2001,224.0
COD,2024,377.0
CAF,2012,534.0
STP,2005,268.0
LSO,2014,853.0
CIV,2018,133.0
SEN,2015,165.0
SOM,2010,220.0
COM,2016,41.0
MRT,2024,65.0
GAB,2010,461.0
RWA,2000,238.0
LSO,2018,659.0
ZMB,2016,376.0
GMB,2021,149.0
CPV,2004,135.0
MDG,2001,215.0
COG,2002,532.0
SLE,2001,592.0
NGA,2017,219.0
MLI,2005,79.0
MDG,2000,207.0
GHA,2004,206.0
UGA,2001,266.0
GMB,2007,186.0
SLE,2015,446.0
NER,2005,123.0
ETH,2015,200.0
STP,2009,107.0
GIN,2007,183.0
GHA,2023,129.0
LSO,2002,1010.0
MRT,2020,84.0
TUN,2012,51.0
RWA,2008,99.0
MAR,2002,115.0
TCD,2001,123.0
GHA,2019,144.0
TZA,2024,172.0
BFA,2010,76.0
MRT,2023,70.0
MRT,2009,155.0
GNQ,2006,286.0
SWZ,2009,1590.0
GNQ,2010,264.0
BWA,2005,788.0
NER,2012,117.0
STP,2004,252.0
RWA,2019,63.0
UGA,2002,256.0
BEN,2005,83.0
GHA,2000,216.0
LSO,2009,1230.0
NAM,2002,1190.0
TCD,2024,118.0
SDN,2003,138.0
ERI,2013,229.0
BFA,2009,77.0
EGY,2010,15.0
NAM,2001,1100.0
DZA,2002,112.0
ZMB,2005,602.0
BEN,2012,73.0
DJI,2014,651.0
CAF,2002,654.0
MLI,2018,59.0
TGO,2014,66.0
BEN,2001,75.0
NGA,2001,219.0
GMB,2018,162.0
MLI,2010,73.0
KEN,2021,247.0
SEN,2006,185.0
SOM,2019,175.0
BFA,2016,67.0
DZA,2011,87.0
CIV,2021,112.0
CMR,2013,238.0
SEN,2014,170.0
DJI,2024,495.0
ZMB,2019,333.0
STP,2007,151.0
MUS,2002,26.0
ZAF,2019,615.0
SWZ,2018,441.0
ERI,2011,262.0
MUS,2020,12.0
ZWE,2003,617.0
TUN,2016,49.0
RWA,2012,72.0
LSO,2011,1120.0
ZAF,2003,1070.0
COM,2015,42.0
COM,2001,49.0
ETH,2018,170.0
COG,2018,311.0
GAB,2005,373.0
CPV,2002,104.0
TUN,2004,39.0
DZA,2022,55.0
GMB,2004,191.0
GIN,2020,179.0
CIV,2002,191.0
ZWE,2004,607.0
ERI,2022,134.0
TZA,2011,401.0
TCD,2005,133.0
ZWE,2010,416.0
TZA,2008,474.0
SOM,2012,192.0
SEN,2010,181.0
SWZ,2016,537.0
GIN,2005,171.0
SYC,2009,16.0
SWZ,2005,1420.0
TUN,2008,39.0
EGY,2003,19.0
SDN,2012,103.0
TZA,2022,195.0
NAM,2008,1060.0
GMB,2022,145.0
GAB,2020,413.0
MUS,2016,15.0
MAR,2014,99.0
UGA,2017,201.0
CIV,2009,215.0
ZWE,2001,617.0
ZWE,2019,199.0
TCD,2022,123.0
BFA,2023,58.0
SYC,2002,34.0
NAM,2004,1260.0
NER,2011,122.0
DZA,2021,57.0
SEN,2024,132.0
ZAF,2000,762.0
EGY,2011,15.0
CMR,2000,84.0
GIN,2013,183.0
AGO,2016,433.0
GAB,2008,426.0
SWZ,2014,855.0
SWZ,2015,648.0
RWA,2016,65.0
CIV,2015,162.0
MWI,2002,401.0
BFA,2019,63.0
BWA,2011,568.0
TZA,2002,509.0
SOM,2000,352.0
MWI,2011,316.0
BDI,2023,86.0
NER,2009,129.0
LBY,2004,65.0
GMB,2010,179.0
SEN,2019,143.0
SSD,2013,399.0
KEN,2024,207.0
NER,2003,112.0
TZA,2003,510.0
GIN,2021,179.0
TUN,2024,39.0
DJI,2004,1530.0
ZWE,2009,450.0
GHA,2005,203.0
COD,2002,588.0
ZMB,2023,283.0
TCD,2013,167.0
GNQ,2024,199.0
GNQ,2014,243.0
BDI,2000,213.0
TUN,2007,40.0
ETH,2000,489.0
LBR,2005,268.0
