iso3,year,gghe
LBY,2020,5.58700848
MOZ,2007,1.17217517
MRT,2005,0.81955862
BDI,2003,1.35508084
TUN,2000,2.53482223
EGY,2016,1.56636381
SYC,2009,2.3870523
ZAF,2015,4.59632444
MDG,2017,2.24615121
SEN,2019,1.05768847
LSO,2016,5.59334755
LBY,2013,3.6518445
BFA,2022,2.62870407
LBY,2001,2.13841844
MDG,2021,0.74739987
SWZ,2022,3.24393272
GAB,2002,1.19960451
GAB,2020,1.89678836
EGY,2001,1.84800243
GAB,2006,1.2173816
TUN,2018,3.09321761
BEN,2023,0.4894892
BFA,2014,1.62685239
LBY,2015,4.02187729
BWA,2009,3.41018438
DJI,2004,1.43785477
RWA,2012,2.05491209
ZWE,2012,1.99879277
SLE,2011,0.70601135
GNB,2022,1.03818488
GIN,2005,0.26129073
AGO,2012,1.39434171
LSO,2001,3.60629058
COG,2005,0.43213499
AGO,2011,1.52542961
CAF,2004,1.4743973
GMB,2020,1.9513855
COG,2018,0.62025368
BEN,2015,0.59082586
SDN,2001,1.1215229
ERI,2002,2.11955547
COM,2016,0.57399994
MUS,2015,2.31317115
GNQ,2010,0.64514917
NGA,2022,0.56285441
CIV,2023,1.40123832
TUN,2014,3.7496531
CPV,2003,2.66076279
BDI,2010,1.9852922
TUN,2007,2.76273274
LSO,2010,3.9816153
CPV,2015,2.89664817
STP,2005,5.03137016
BWA,2000,3.2540555
GNB,2013,0.55160207
BDI,2012,2.66949105
GIN,2002,0.64011806
LSO,2005,2.25555015
CAF,2005,1.03554976
ZAF,2010,4.00033045
DZA,2013,3.91591859
COM,2023,0.84639359
GNQ,2022,0.86760986
STP,2016,3.06470799
MUS,2010,1.99484634
GMB,2013,1.08376527
GHA,2009,2.04712129
CIV,2011,0.57983553
LBR,2013,0.31744617
NER,2001,1.14577425
SOM,2015,0.09905031
TUN,2012,3.58298373
NGA,2009,0.57001245
TGO,2009,0.68256968
ZMB,2008,1.58524466
LSO,2022,6.55054998
BFA,2009,1.64177847
GAB,2005,1.05433261
ZWE,2022,1.01829815
SYC,2019,3.04219794
LSO,2018,5.5954361
COM,2011,0.9567222
MUS,2012,1.87548065
STP,2017,3.43653798
TGO,2019,0.89146012
EGY,2012,1.28014243
SOM,2019,0.15007043
EGY,2021,1.73679698
UGA,2022,0.98358905
SWZ,2011,3.61155891
COM,2001,0.5343321
ZMB,2013,1.30987322
STP,2015,2.0531044
LSO,2019,6.75437784
GIN,2018,0.61740124
KEN,2017,1.71156442
MAR,2015,1.98215687
ZMB,2014,1.89382219
LSO,2017,6.03923559
TUN,2021,4.1127286
CMR,2009,0.44800821
SYC,2022,2.99964738
GHA,2018,1.37083328
BEN,2013,0.76463026
NGA,2015,0.58907843
COG,2008,1.09928632
